SKN,Name,Lat_DD,Lon_DD,ElevFT,Observer,UsedInRFA,NumMosRFAvg,DataSources,StationStatus,NumMos,MinYear,MaxYear,Changepoint
1.00,Kalae,18.91617582,-155.6749942,35,USCG,Yes,8,"NCDC, State/NCDC",Discontinued,285,1924,1949,no
1.10,Morse Field,18.91367961,-155.6805497,40,US AIR FORCE,No,0,State,Discontinued,33,1939,1941,no
1.20,Kalae S Trk Sta,18.93866881,-155.6805489,305,SPACE TECH LAB,No,0,State,Discontinued,57,1965,1969,no
2.00,Manuka,19.10866032,-155.8255447,1750,STATE DIV OF FTRY,Yes,12,"NCDC, State, State/NCDC",Current,886,1929,2007,yes
2.11,Bottom 1916 Flow,19.22310147,-155.7952647,2770,HOLUALOA RANCH,No,0,State,Discontinued,16,1956,1957,no
2.12,Top Terr Boy,19.18588011,-155.8222097,3430,HOLUALOA RANCH,No,0,State,Discontinued,16,1956,1957,no
2.13,100 Acres,19.1961578,-155.8035984,4200,PUUWAAWAA RANCH,No,0,State,Discontinued,274,1956,1979,no
2.14,Kapua Mauka,19.18532491,-155.7888767,4620,HOLUALOA RANCH,No,0,State,Discontinued,18,1956,1957,no
2.15,Pa Hanalei Pen,19.2036575,-155.813876,4000,HOLUALOA RANCH,No,0,State,Discontinued,54,1956,1979,no
2.16,Castle Padd Tank,19.21365726,-155.7888761,5050,HOLUALOA RANCH,No,0,State,Discontinued,16,1956,1957,no
2.17,Okoe,19.16699076,-155.8652659,1590,PUUWAAWAA RANCH,No,0,State,Discontinued,274,1956,1979,no
2.18,Kole Pen,19.13865819,-155.875544,920,PUUWAAWAA RANCH,No,0,State,Discontinued,273,1956,1978,no
2.19,HALEPIULA (1670),19.14032538,-155.8472109,1670,PUUWAAWAA RANCH,No,0,State,Discontinued,127,1956,1966,no
2.20,Kahuku Shed 3,19.16474,-155.68228,4890,KAHUKU RANCH,Yes,4,State,Discontinued,630,1920,1974,no
2.21,PAPA,19.20199047,-155.8352649,2600,PUUWAAWAA RANCH,No,0,State,Discontinued,161,1959,1972,no
2.22,Furlka,19.18199125,-155.8255431,3200,PUUWAAWAA RANCH,No,0,State,Discontinued,239,1958,1979,no
2.23,Bill Jack,19.18199061,-155.8505432,2060,HOLUALOA RANCH,No,0,State,Discontinued,6,1957,1957,no
2.24,Kau,19.10866081,-155.7958228,2360,WINFORD GARDENS,No,0,State,Discontinued,17,1966,1968,no
2.25,Reservoir (2940),19.16060318,-155.8224882,2940,PUUWAAWAA RANCH,Yes,12,State,Discontinued,149,1966,1978,no
2.26,Castle,19.22532337,-155.7788762,5680,PUUWAAWAA RANCH,Yes,11,State,Discontinued,135,1967,1979,no
2.30,Hoopuloa Upper,19.21032328,-155.8522094,2425,DOMKOWICZ RYS,No,0,State,Discontinued,107,1903,1912,no
2.31,South Kona,19.09699465,-155.7497122,2650,MRS C CARLSON,No,0,State,Discontinued,119,1977,1986,no
2.32,South Kona 2 2.32,19.105,-155.78,2564,South Kona,No,0,State,Discontinued,92,1982,1991,no
2.34,Milolii 2.34,19.186302,-155.886763,920,NCDC,Yes,11,NCDC,Current,267,1985,2007,no
2.40,Hoopuloa Lower,19.19698981,-155.8688765,1650,EDWARDS EH,No,0,State,Discontinued,101,1897,1905,no
2.50,KAPUA,19.20560162,-155.7588771,6000,KAHUKU RANCH,No,0,State,Discontinued,224,1953,1973,no
2.60,FIVE MI PADDOCK,19.07699483,-155.7572126,2000,KAHUKU RANCH,No,0,State,Discontinued,85,1954,1961,no
2.70,Kahuku Plant,19.23587837,-155.8585982,2400,ARNEMANN WHG,No,0,State,Discontinued,16,1909,1910,no
2.80,Top Coffee Papa,19.19532346,-155.855543,2050,HOLUALOA RANCH,No,0,State,Discontinued,16,1956,1957,no
2.90,Kapulepu,19.18199051,-155.8555432,1900,HOLUALOA RANCH,No,0,State,Discontinued,10,1956,1956,no
