Timestamp,Age,Stars,Height,Superpower,Random,BirthMonth,Drawing,Guitar,Math,Debug,BagColor,Commute,Soda,Dinosaurs,Sports,Lat,Long,Education,Supermarket
9/1/2026 9:03:00,34,Star Trek,179,Telekinesis,3.14,03,1,1,3,2,grey,30,No,Yes,No,56.661469,-4.913829,Bachelor's Degree,Foodland
9/1/2026 9:06:03,22,Star Wars,165,Flying,6,12,2,1,3,3,Black,15,No,Yes,Yes,35.68,139.69,High School Diploma,Safeway
9/1/2026 9:06:23,20,Star Wars,160,Telekinesis,1,10,1,1,4,3,Black,20,No,No,No,21.306944,-157.858337,High School Diploma,Times
9/1/2026 9:06:25,20,Star Wars,166,Talk to animals,5,9,4,4,4,1,blue,8,No,No,Yes,51.507351,-0.127758,High School Diploma,Safeway
9/1/2026 9:06:35,22,Star Wars,163,Telekinesis,7,2,2,1,3,3,black,20,No,Yes,No,35.011635,135.768036,Bachelor's Degree,Foodland
9/1/2026 9:06:37,21,Star Wars,161,Flying,6,9,1,1,2,2,black ,30,No,Yes,Yes,42.492039,78.381821,High School Diploma,Foodland
9/1/2026 9:06:44,21,Star Wars,172,Flying,5,08,4,1,4,3,Black,20,No,Yes,Yes,21.346304,-157.721344,High School Diploma,Safeway
9/1/2026 9:07:21,22,Star Wars,170,Telekinesis,7,1,2,2,4,3,black,20,Yes,No,Yes,35.7,139.7,High School Diploma,Times
9/1/2026 9:07:32,25,Star Wars,185,Flying,7,4,3,2,3,3,sage,30,Yes,Yes,Yes,35.027247,136.730205,Bachelor's Degree,Foodland
9/1/2026 9:07:40,23,Star Wars,163,Invisibility,2,12,1,1,5,2,green,10,Yes,Yes,Yes,21.30676894,-157.8653589,Bachelor's Degree,Foodland
9/1/2026 9:07:40,25,Star Wars,173,Telekinesis,8,3,1,1,2,3,beige,80,No,Yes,No,37.785149,122.434761,High School Diploma,Foodland
9/1/2026 9:08:26,20,Star Wars,152.4,Telekinesis,3,12,2,1,1,1,Black and blue,50,Yes,Yes,Yes,21.292117,-157.844003,High School Diploma,Safeway
9/1/2026 9:08:30,23,Star Trek,168,Invisibility,1,05,4,2,4,4,Blue,20,No,No,No,,31.470702,Bachelor's Degree,Foodland
9/1/2026 9:08:52,21,Star Wars,149.86,Flying,2,1,3,3,4,3,Black,45,Yes,Yes,No,34.062752,-118.361008,High School Diploma,Times
9/1/2026 9:09:04,29,Star Wars,167,Talk to animals,7,7,1,1,3,3,brown,10,Yes,Yes,Yes,37.566536,126.977966,Master's Degree,Safeway
9/1/2026 9:09:04,21,Star Wars,182,Flying,10,2,3,1,4,3,gray,30,No,Yes,Yes,14.058324,108.277199,High School Diploma,Times
9/1/2026 9:09:04,29,Star Wars,166,Flying,12,9,2,3,4,4,dark brown,120,Yes,No,No,49.28273,-123.120735,Bachelor's Degree,Costco
9/1/2026 9:09:10,23,Star Wars,166,Super strength,5,5,4,1,3,3,Black,80,No,Yes,No,35.173808,-223.08509,Bachelor's Degree,Times
9/1/2026 9:09:11,21,Star Wars,170.6,Telekinesis,7,2,1,1,4,4,White,25,Yes,Yes,Yes,35.86166,104.195396,High School Diploma,Safeway
9/1/2026 9:09:23,21,Star Wars,177.8,Flying,3,3,1,1,4,3,black,45,No,No,Yes,42.36,-71.057,High School Diploma,Safeway
9/1/2026 9:09:38,23,Star Wars,171.45,Telekinesis,6,6,3,1,4,3,Maroon,10,No,Yes,No,-36.8090385,174.7893859,Bachelor's Degree,Safeway
9/1/2026 9:09:42,22,Star Wars,166,Flying,4,10,4,1,4,4,Black,30,No,Yes,No,37.865101,-119.53833,High School Diploma,Times
9/1/2026 9:10:11,22,Star Wars,170,Telekinesis,2,12,1,1,2,3,Beige...? I think?,15,Yes,Yes,No,-21.3303636,-157.8651954,Bachelor's Degree,Times
9/1/2026 9:11:15,21,Star Wars,178,Telekinesis,1,5,2,2,5,4,Black,60,Yes,Yes,Yes,37.566536,126.977966,High School Diploma,Safeway
9/1/2026 9:11:23,27,Star Wars,168,Invisibility,9,11,1,3,2,3,Grey,40,Yes,Yes,Yes,36.204823,138.25293,High School Diploma,Costco
9/1/2026 9:11:41,22,Star Trek,172,Invisibility,9,5,2,1,3,4,Black,40,No,Yes,Yes,21,-157,Bachelor's Degree,Safeway
9/1/2026 9:12:07,28,Star Wars,165,Talk to animals,7,3,4,2,3,4,Gray,5,No,Yes,No,-17.60323,-17.60323,Bachelor's Degree,Times
9/1/2026 9:12:46,22,Star Wars,179,Flying,4,8,3,1,4,5,Black,8,No,Yes,No,19.81153,-155.336099,High School Diploma,Safeway
9/1/2026 9:12:59,21,Star Wars,157,Flying,3,11,2,1,3,2,Gray,5,No,Yes,Yes,19.992201,-155.819183,Bachelor's Degree,Safeway
9/1/2026 9:19:44,27,Star Wars,159,Invisibility,7,10,3,1,3,3,Pink,5,Yes,No,No,21.306944,-157.858337,Bachelor's Degree,Safeway
