year,month,value
1904,Jan,NaN
1904,Feb,NaN
1904,Mar,NaN
1904,Apr,NaN
1904,May,NaN
1904,Jun,NaN
1904,Jul,NaN
1904,Aug,NaN
1904,Sept,35.56
1904,Oct,25.908
1904,Nov,104.394
1904,Dec,79.502
1905,Jan,20.32
1905,Feb,7.112
1905,Mar,11.176
1905,Apr,54.61
1905,May,31.496
1905,Jun,14.732
1905,Jul,24.892
1905,Aug,55.88
1905,Sept,46.228
1905,Oct,37.338
1905,Nov,55.372
1905,Dec,72.39
1906,Jan,56.134
1906,Feb,6.604
1906,Mar,41.91
1906,Apr,4.572
1906,May,25.908
1906,Jun,16.51
1906,Jul,36.068
1906,Aug,16.256
1906,Sept,30.226
1906,Oct,21.336
1906,Nov,144.526
1906,Dec,254.508
1907,Jan,315.976
1907,Feb,149.098
1907,Mar,54.356
1907,Apr,16.256
1907,May,17.018
1907,Jun,12.446
1907,Jul,24.638
1907,Aug,38.608
1907,Sept,7.62
1907,Oct,26.416
1907,Nov,52.07
1907,Dec,50.8
1908,Jan,12.7
1908,Feb,86.868
1908,Mar,205.486
1908,Apr,15.24
1908,May,8.89
1908,Jun,9.906
1908,Jul,4.064
1908,Aug,23.114
1908,Sept,19.05
1908,Oct,5.588
1908,Nov,27.94
1908,Dec,68.072
1909,Jan,59.182
1909,Feb,66.548
1909,Mar,88.646
1909,Apr,25.654
1909,May,10.414
1909,Jun,17.018
1909,Jul,37.338
1909,Aug,14.732
1909,Sept,19.05
1909,Oct,13.208
1909,Nov,10.922
1909,Dec,165.862
1910,Jan,121.666
1910,Feb,30.988
1910,Mar,38.608
1910,Apr,37.592
1910,May,21.844
1910,Jun,19.304
1910,Jul,24.13
1910,Aug,51.816
1910,Sept,162.56
1910,Oct,16.002
1910,Nov,77.47
1910,Dec,67.056
1911,Jan,102.616
1911,Feb,202.692
1911,Mar,54.102
1911,Apr,43.18
1911,May,66.548
1911,Jun,9.398
1911,Jul,17.018
1911,Aug,15.748
1911,Sept,55.88
1911,Oct,24.638
1911,Nov,11.938
1911,Dec,74.676
1912,Jan,15.748
1912,Feb,77.47
1912,Mar,30.988
1912,Apr,24.13
1912,May,10.668
1912,Jun,8.636
1912,Jul,6.858
1912,Aug,13.208
1912,Sept,8.382
1912,Oct,60.96
1912,Nov,63.5
1912,Dec,53.086
1913,Jan,34.29
1913,Feb,22.098
1913,Mar,33.528
1913,Apr,48.514
1913,May,74.93
1913,Jun,108.204
1913,Jul,4.572
1913,Aug,28.956
1913,Sept,20.574
1913,Oct,6.604
1913,Nov,75.184
1913,Dec,13.208
1914,Jan,59.436
1914,Feb,61.214
1914,Mar,127
1914,Apr,51.562
1914,May,23.368
1914,Jun,11.43
1914,Jul,10.668
1914,Aug,8.89
1914,Sept,54.61
1914,Oct,29.718
1914,Nov,37.084
1914,Dec,110.998
1915,Jan,8.89
1915,Feb,20.828
1915,Mar,10.668
1915,Apr,49.022
1915,May,5.08
1915,Jun,21.844
1915,Jul,51.308
1915,Aug,4.572
1915,Sept,39.624
1915,Oct,36.576
1915,Nov,271.272
1915,Dec,233.172
1916,Jan,466.344
1916,Feb,81.788
1916,Mar,172.466
1916,Apr,46.736
1916,May,49.022
1916,Jun,34.29
1916,Jul,43.688
1916,Aug,27.686
1916,Sept,15.24
1916,Oct,30.734
1916,Nov,33.274
1916,Dec,140.716
1917,Jan,212.598
1917,Feb,52.07
1917,Mar,403.098
1917,Apr,40.894
1917,May,41.91
1917,Jun,14.224
1917,Jul,14.224
1917,Aug,28.448
1917,Sept,17.018
1917,Oct,37.338
1917,Nov,77.978
1917,Dec,117.856
1918,Jan,149.606
1918,Feb,79.756
1918,Mar,121.412
1918,Apr,174.498
1918,May,10.16
1918,Jun,22.098
1918,Jul,16.256
1918,Aug,69.596
1918,Sept,10.414
1918,Oct,36.576
1918,Nov,135.128
1918,Dec,125.984
1919,Jan,37.846
1919,Feb,6.858
1919,Mar,31.496
1919,Apr,9.652
1919,May,17.272
1919,Jun,21.59
1919,Jul,21.336
1919,Aug,14.732
1919,Sept,30.226
1919,Oct,124.46
1919,Nov,32.258
1919,Dec,22.86
1920,Jan,99.822
1920,Feb,17.526
1920,Mar,95.504
1920,Apr,23.876
1920,May,31.75
1920,Jun,8.89
1920,Jul,10.16
1920,Aug,19.05
1920,Sept,8.128
1920,Oct,21.59
1920,Nov,89.662
1920,Dec,221.488
1921,Jan,253.238
1921,Feb,29.21
1921,Mar,9.906
1921,Apr,18.542
1921,May,9.398
1921,Jun,8.128
1921,Jul,20.066
