year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec
1904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.56,25.908,104.394,79.502
1905,20.32,7.112,11.176,54.61,31.496,14.732,24.892,55.88,46.228,37.338,55.372,72.39
1906,56.134,6.604,41.91,4.572,25.908,16.51,36.068,16.256,30.226,21.336,144.526,254.508
1907,315.976,149.098,54.356,16.256,17.018,12.446,24.638,38.608,7.62,26.416,52.07,50.8
1908,12.7,86.868,205.486,15.24,8.89,9.906,4.064,23.114,19.05,5.588,27.94,68.072
1909,59.182,66.548,88.646,25.654,10.414,17.018,37.338,14.732,19.05,13.208,10.922,165.862
1910,121.666,30.988,38.608,37.592,21.844,19.304,24.13,51.816,162.56,16.002,77.47,67.056
1911,102.616,202.692,54.102,43.18,66.548,9.398,17.018,15.748,55.88,24.638,11.938,74.676
1912,15.748,77.47,30.988,24.13,10.668,8.636,6.858,13.208,8.382,60.96,63.5,53.086
1913,34.29,22.098,33.528,48.514,74.93,108.204,4.572,28.956,20.574,6.604,75.184,13.208
1914,59.436,61.214,127,51.562,23.368,11.43,10.668,8.89,54.61,29.718,37.084,110.998
1915,8.89,20.828,10.668,49.022,5.08,21.844,51.308,4.572,39.624,36.576,271.272,233.172
1916,466.344,81.788,172.466,46.736,49.022,34.29,43.688,27.686,15.24,30.734,33.274,140.716
1917,212.598,52.07,403.098,40.894,41.91,14.224,14.224,28.448,17.018,37.338,77.978,117.856
1918,149.606,79.756,121.412,174.498,10.16,22.098,16.256,69.596,10.414,36.576,135.128,125.984
1919,37.846,6.858,31.496,9.652,17.272,21.59,21.336,14.732,30.226,124.46,32.258,22.86
1920,99.822,17.526,95.504,23.876,31.75,8.89,10.16,19.05,8.128,21.59,89.662,221.488
1921,253.238,29.21,9.906,18.542,9.398,8.128,20.066,23.876,27.686,110.236,9.398,155.448
1922,162.306,19.558,89.916,9.398,22.86,10.668,14.478,19.05,37.846,82.296,25.654,16.764
1923,287.274,93.472,161.544,86.36,9.144,4.318,6.35,9.652,20.828,56.388,10.16,202.946
1924,3.048,37.338,32.766,321.31,14.732,15.24,42.418,19.558,8.636,46.736,26.924,99.568
1925,40.132,9.144,105.664,39.116,15.494,7.112,17.018,4.572,25.146,62.738,34.29,66.802
1926,12.446,11.176,30.48,18.796,2.032,50.292,9.144,33.02,17.78,49.022,3.048,49.022
