"COUNT(1)","SEMESTER","CAMPUS","AGE_GROUP"
202,Fall 2010,University of Hawai`i - West O`ahu,"35-44 yrs"
255,Fall 2010,Kaua`i Community College,"20-21 yrs"
2209,Fall 2010,Leeward Community College,"18-19 yrs"
28,Fall 2010,University of Hawai`i - West O`ahu,<18 yrs
130,Fall 2010,University of Hawai`i at Hilo,<18 yrs
295,Fall 2010,Maui College,<18 yrs
634,Fall 2011,University of Hawai`i at Hilo,"25-29 yrs"
559,Fall 2011,Hawai`i Community College,"25-29 yrs"
199,Fall 2011,University of Hawai`i - West O`ahu,"30-34 yrs"
890,Fall 2011,University of Hawai`i Maui College,"18-19 yrs"
806,Fall 2011,University of Hawai`i at Hilo,"18-19 yrs"
410,Fall 2011,Honolulu Community College,"30-34 yrs"
231,Fall 2011,Kaua`i Community College,"20-21 yrs"
133,Fall 2011,Kaua`i Community College,<18 yrs
137,Fall 2011,University of Hawai`i at Hilo,<18 yrs
4300,Fall 2012,University of Hawai`i at Manoa,"20-21 yrs"
585,Fall 2012,Hawai`i Community College,"20-21 yrs"
417,Fall 2012,Honolulu Community College,"30-34 yrs"
730,Fall 2012,University of Hawai`i at Manoa,"45-59 yrs"
236,Fall 2012,University of Hawai`i at Hilo,"35-44 yrs"
532,Fall 2013,Leeward Community College,"35-44 yrs"
88,Fall 2013,University of Hawai`i at Manoa,"60+ yrs"
1744,Fall 2013,Kapi`olani Community College,"20-21 yrs"
161,Fall 2013,University of Hawai`i at Hilo,"45-59 yrs"
236,Fall 2013,Hawai`i Community College,<18 yrs
1573,Fall 2013,Kapi`olani Community College,"22-24 yrs"
815,Fall 2021,Leeward Community College,"22-24 yrs"
571,Fall 2021,University of Hawai`i - West O`ahu,"22-24 yrs"
120,Fall 2021,Hawai`i Community College,"45-59 yrs"
694,Fall 2022,University of Hawai`i at Hilo,"20-21 yrs"
1360,Fall 2022,Kapi`olani Community College,"18-19 yrs"
489,Fall 2022,Hawai`i Community College,"18-19 yrs"
374,Fall 2022,Honolulu Community College,<18 yrs
114,Fall 2022,University of Hawai`i Maui College,"45-59 yrs"
3631,Fall 2014,University of Hawai`i at Manoa,"18-19 yrs"
202,Fall 2014,Honolulu Community College,"45-59 yrs"
234,Fall 2014,University of Hawai`i at Hilo,"35-44 yrs"
99,Fall 2014,Kaua`i Community College,"30-34 yrs"
178,Fall 2014,Kaua`i Community College,"25-29 yrs"
230,Fall 2014,Windward Community College,"30-34 yrs"
1,Fall 2014,Kapi`olani Community College,No Data
470,Fall 2015,Kapi`olani Community College,"35-44 yrs"
150,Fall 2015,University of Hawai`i - West O`ahu,<18 yrs
186,Fall 2015,Hawai`i Community College,"45-59 yrs"
34,Fall 2015,Kaua`i Community College,"60+ yrs"
798,Fall 2016,University of Hawai`i at Hilo,"20-21 yrs"
242,Fall 2016,University of Hawai`i Maui College,"45-59 yrs"
677,Fall 2016,Honolulu Community College,"25-29 yrs"
350,Fall 2016,Kaua`i Community College,"18-19 yrs"
657,Fall 2016,Honolulu Community College,"22-24 yrs"
402,Fall 2016,University of Hawai`i Maui College,"22-24 yrs"
281,Fall 2016,University of Hawai`i Maui College,"30-34 yrs"
307,Fall 2017,Honolulu Community College,"35-44 yrs"
3610,Fall 2017,University of Hawai`i at Manoa,"18-19 yrs"
343,Fall 2017,Kapi`olani Community College,<18 yrs
266,Fall 2017,University of Hawai`i - West O`ahu,<18 yrs
47,Fall 2017,Leeward Community College,"60+ yrs"
45,Fall 2017,Kapi`olani Community College,"60+ yrs"
474,Fall 2018,Kapi`olani Community College,"35-44 yrs"
1353,Fall 2018,University of Hawai`i at Manoa,"30-34 yrs"
303,Fall 2018,University of Hawai`i - West O`ahu,"35-44 yrs"
251,Fall 2018,University of Hawai`i Maui College,"30-34 yrs"
377,Fall 2018,Windward Community College,"22-24 yrs"
433,Fall 2018,University of Hawai`i Maui College,"20-21 yrs"
156,Fall 2018,Windward Community College,"35-44 yrs"
524,Fall 2019,Kapi`olani Community College,"30-34 yrs"
967,Fall 2019,Kapi`olani Community College,"25-29 yrs"
3256,Fall 2019,University of Hawai`i at Manoa,"22-24 yrs"
